ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate,crackLengthScore,crackWidthScore,radiusOfCurvatureScore,segmentDislocationScore,settlementRateScore,convergenceDeformationScore,leakageRateScore,subjection1,subjection2,subjection3,subjection4,comprehensiveValue,comprehensiveLevel
653,1,1,1,2,1,1,2,80.05,73.27,87.49,64.4,81.61,83.1,62.5,0.34,0.54,0.1,0.0,68.35,2
654,1,1,1,1,1,1,1,70.52,74.88,87.49,80.92,79.64,83.43,84.37,0.7,0.22,0.06,0.0,78.5,1
655,1,2,1,2,1,1,1,68.72,65.33,87.49,55.52,79.24,82.3,84.37,0.44,0.41,0.13,0.0,70.29,2
656,2,1,1,1,2,1,1,66.33,79.57,87.49,79.57,60.89,85.28,84.37,0.6,0.31,0.08,0.0,75.32,1
657,1,1,1,1,1,2,1,80.89,78.78,87.49,79.27,79.84,66.05,84.37,0.73,0.19,0.06,0.0,79.39,1
658,1,2,1,1,1,1,2,76.85,62.41,87.49,78.64,72.75,84.52,62.5,0.28,0.6,0.11,0.0,66.6,2
659,1,2,1,1,1,1,1,80.26,71.59,87.49,78.86,82.09,84.94,84.37,0.73,0.21,0.05,0.0,79.54,1
660,1,1,1,2,2,1,2,79.51,78.73,87.49,62.59,66.42,78.4,62.5,0.32,0.55,0.11,0.0,67.86,2
661,1,2,1,2,2,1,1,80.61,61.16,87.49,54.23,65.46,83.65,84.37,0.38,0.47,0.14,0.0,68.54,2
662,1,1,1,2,3,1,1,79.29,78.33,87.49,53.76,49.9,85.13,84.37,0.47,0.3,0.22,0.0,68.79,2
663,2,2,1,2,1,1,1,66.66,69.54,87.49,67.03,80.73,81.16,84.37,0.55,0.34,0.09,0.0,74.06,2
